Title;Author;Rating
The One (The Selection, #3);Kiera Cass;4
Isla and the Happily Ever After (Anna and the French Kiss, #3);Stephanie Perkins;5
The Iron Trial (Magisterium, #1);Holly Black;4
The Fiery Heart (Bloodlines, #4);Richelle Mead;4
The Blood of Olympus (The Heroes of Olympus, #5);Rick Riordan;4
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys;Greg Behrendt;3
Silver Shadows (Bloodlines, #5);Richelle Mead;5
Fables, Vol. 1: Legends in Exile (Fables, #1);Bill Willingham;4
Sex Criminals: Volume One: One Weird Trick;Matt Fraction;4
Toxic (Pretty Little Liars, #15);Sara Shepard;3
Vicious (Pretty Little Liars, #16);Sara Shepard;3
The Shadow Cabinet (Shades of London, #3);Maureen Johnson;4
Hold Me Closer: The Tiny Cooper Story;David Levithan;4
Saint Anything;Sarah Dessen;4
The Defining Decade: Why Your Twenties Matter ‒ And How to Make the Most of Them Now;Meg Jay;3
An Ember in the Ashes (An Ember in the Ashes, #1);Sabaa Tahir;4
The Wrath & the Dawn (The Wrath and the Dawn, #1);Renée Ahdieh;3
Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1);Ransom Riggs;3
The Fixer (The Fixer, #1);Jennifer Lynn Barnes;4
The Raven Boys (The Raven Cycle, #1);Maggie Stiefvater;3
The Magicians (The Magicians, #1);Lev Grossman;3
Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8);John Tiffany;3
Red Queen (Red Queen, #1);Victoria Aveyard;4
This Savage Song  (Monsters of Verity, #1);Victoria Schwab;4
We Were Liars;E. Lockhart;3
Crown of Midnight (Throne of Glass, #2);Sarah J. Maas;0
And I Darken (The Conqueror's Saga, #1);Kiersten White;3
The Copper Gauntlet (Magisterium, #2);Holly Black;4
P.S. I Like You;Kasie West;4
Alice's Adventures in Wonderland;Lewis Carroll;3
The Retribution of Mara Dyer (Mara Dyer, #3);Michelle Hodkin;4
Heir of Fire (Throne of Glass, #3);Sarah J. Maas;0
Queen of Shadows (Throne of Glass, #4);Sarah J. Maas;2
A Clash of Kings (A Song of Ice and Fire, #2);George R.R. Martin;4
The Young Elites (The Young Elites, #1);Marie Lu;4
Empire of Storms (Throne of Glass, #5);Sarah J. Maas;1
Everything, Everything;Nicola Yoon;4
A Storm of Swords (A Song of Ice and Fire, #3);George R.R. Martin;4
A Feast for Crows (A Song of Ice and Fire, #4);George R.R. Martin;4
Siege and Storm (The Shadow and Bone Trilogy, #2);Leigh Bardugo;4
A Dance with Dragons (A Song of Ice and Fire, #5);George R.R. Martin;4
Ruin and Rising (The Grisha, #3);Leigh Bardugo;4
The Sun Is Also a Star;Nicola Yoon;5
Written in the Stars;Aisha Saeed;4
Simon vs. the Homo Sapiens Agenda (Creekwood, #1);Becky Albertalli;4
Labyrinth Lost (Brooklyn Brujas, #1);Zoraida Córdova;4
The Wide Window (A Series of Unfortunate Events, #3);Lemony Snicket;3
More Happy Than Not;Adam Silvera;5
The Long Game (The Fixer, #2);Jennifer Lynn Barnes;5
The Female of the Species;Mindy McGinnis;4
The Miserable Mill (A Series of Unfortunate Events, #4);Lemony Snicket;3
